carlength,carwidth,curbweight,enginesize,horsepower,price,Brand
186.6,66.5,2758,121,110,15510.0,1.0
186.6,66.5,2808,121,160,18150.0,1.0
186.6,66.5,2847,121,160,18620.0,1.0
156.9,63.4,2050,97,69,5118.0,0.0
157.9,63.6,2120,108,73,7053.0,0.0
157.3,63.8,2240,108,73,7603.0,0.0
172.0,65.4,2145,108,82,7126.0,0.0
172.0,65.4,2190,108,82,7775.0,0.0
172.0,65.4,2340,108,94,9960.0,0.0
172.0,65.4,2385,108,82,9233.0,0.0
172.0,65.4,2510,108,111,11259.0,0.0
173.5,65.4,2290,108,82,7463.0,0.0
173.5,65.4,2455,108,94,10198.0,0.0
173.6,65.4,2420,108,82,8013.0,0.0
173.6,65.4,2650,108,111,11694.0,0.0
158.7,63.6,1985,92,62,5348.0,0.0
158.7,63.6,2040,92,62,6338.0,0.0
158.7,63.6,2015,92,62,6488.0,0.0
169.7,63.6,2280,92,62,6918.0,0.0
169.7,63.6,2290,92,62,7898.0,0.0
169.7,63.6,3110,92,62,8778.0,0.0
166.3,64.4,2081,98,70,6938.0,0.0
166.3,64.4,2109,98,70,7198.0,0.0
166.3,64.4,2275,110,56,7898.0,0.0
166.3,64.4,2275,110,56,7788.0,0.0
166.3,64.4,2094,98,70,7738.0,0.0
166.3,64.4,2122,98,70,8358.0,0.0
166.3,64.4,2140,98,70,9258.0,0.0
168.7,64.0,2169,98,70,8058.0,0.0
168.7,64.0,2204,98,70,8238.0,0.0
168.7,64.0,2265,98,112,9298.0,0.0
168.7,64.0,2300,98,112,9538.0,0.0
176.2,65.6,2540,146,116,8449.0,0.0
176.2,65.6,2536,146,116,9639.0,0.0
176.2,65.6,2551,146,116,9989.0,0.0
176.2,65.6,2679,146,116,11199.0,0.0
176.2,65.6,2714,146,116,11549.0,0.0
176.2,65.6,2975,146,116,17669.0,0.0
175.6,66.5,2326,122,92,8948.0,0.0
175.6,66.5,2480,110,73,10698.0,0.0
175.6,66.5,2414,122,92,9988.0,0.0
175.6,66.5,2414,122,92,10898.0,0.0
175.6,66.5,2458,122,92,11248.0,0.0
183.5,67.7,2976,171,161,16558.0,0.0
183.5,67.7,3016,171,161,15998.0,0.0
187.8,66.5,3131,171,156,15690.0,0.0
187.8,66.5,3151,161,156,15750.0,1.0
171.7,65.5,2261,97,52,7775.0,0.0
171.7,65.5,2209,109,85,7975.0,0.0
171.7,65.5,2264,97,52,7995.0,0.0
171.7,65.5,2212,109,85,8195.0,0.0
171.7,65.5,2275,109,85,8495.0,0.0
171.7,65.5,2319,97,68,9495.0,0.0
171.7,65.5,2300,109,100,9995.0,0.0
159.3,64.2,2254,109,90,11595.0,0.0
165.7,64.0,2221,109,90,9980.0,0.0
180.2,66.9,2661,136,110,13295.0,0.0
180.2,66.9,2579,97,68,13845.0,0.0
183.1,66.9,2563,109,88,12290.0,0.0
188.8,67.2,2912,141,114,12940.0,1.0
188.8,67.2,3034,141,114,13415.0,1.0
188.8,67.2,2935,141,114,15985.0,1.0
188.8,67.2,3042,141,114,16515.0,1.0
188.8,67.2,3045,130,162,18420.0,1.0
188.8,67.2,3157,130,162,18950.0,1.0
188.8,68.9,2952,141,114,16845.0,1.0
188.8,68.8,3049,141,160,19045.0,1.0
188.8,68.9,3012,173,134,21485.0,1.0
188.8,68.9,3217,145,106,22470.0,1.0
188.8,68.9,3062,141,114,22625.0,1.0
